Model,Accuracy,Precision,Recall,F1 Score,Training Time (min),Prediction Time (sec)
Random Forest,0.9963968491274796,0.9967325241836849,0.9963968491274796,0.9965287717032874,0.09,4.84
Extra Trees,0.9964169503875774,0.9967307342999976,0.9964169503875774,0.9965380092101664,0.3780981620152791,5.755995273590088
LightGBM,0.8707966380642487,0.9485524085030488,0.8707966380642487,0.9047446823239376,47.47,1.62
XGBoost,0.9964646908803096,0.9971484255366876,0.9964646908803096,0.9967362734354124,18.84,0.53
Stacking Ensemble,0.996414,0.996732,0.996414,0.996538,2.49,0.11
