Model,Accuracy,Weighted F1,Macro Precision,Macro Recall,Macro F1,Balanced Accuracy,Balanced Accuracy (%),Prediction Time (sec)
XGBoost,0.9966531401937259,0.9969339937609709,0.8059065865202473,0.8943182163302462,0.8209806933355012,0.8943182163302462,89.43182163302463,0.6984055042266846
Extra Trees,0.9966154503310426,0.9967092680866211,0.8445300374989685,0.8593963711090707,0.8424816303433638,0.8593963711090707,85.93963711090707,5.26189112663269
Random Forest,0.9965802731258716,0.9966770843271294,0.8358473421634269,0.8566824424344934,0.8367090760219821,0.8566824424344934,85.66824424344934,6.121560096740723
