Configuration,Accuracy,Weighted F1,Macro F1,Training Time (min)
ET_Config_1,0.9962787542244055,0.9965005342407087,0.8079943257506504,0.03598119020462036
ET_Config_2,0.9845245423822506,0.9878859995064403,0.7511212446401223,0.030468948682149253
ET_Config_3,0.9841426184403935,0.9875517159249212,0.7308445077682172,0.029930885632832846
