Meta Learner,Accuracy,Weighted F1,Macro Precision,Macro Recall,Macro F1,Balanced Accuracy,Balanced Accuracy (%),Training Time (min),Prediction Time (sec)
Extra Trees Meta,0.996228501074161,0.9963709019544538,0.8164276897443454,0.89191149033132,0.8379180103944612,0.89191149033132,89.191149033132,0.3869351347287496,3.728797197341919
Random Forest Meta,0.9961556340063068,0.996320901935165,0.8006861598758417,0.8917390791250728,0.8269317991864008,0.8917390791250728,89.17390791250727,0.6548843741416931,3.9524779319763184
XGBoost Meta,0.9965903237559205,0.9966784140729155,0.8467883579742642,0.8588525448095206,0.8454012732180229,0.8588525448095206,85.88525448095206,13.271234488487243,0.36788487434387207
Logistic Regression,0.9967159566315313,0.9967919541604119,0.8505279984514735,0.856690633906574,0.8457589809677931,0.856690633906574,85.6690633906574,0.16143424113591512,0.07478499412536621
